event_date,event_name,event_type
2024-01-31,FOMC 2024-01-31,fomc
2024-03-20,FOMC 2024-03-20,fomc
2024-05-01,FOMC 2024-05-01,fomc
2024-06-12,FOMC 2024-06-12,fomc
2024-07-31,FOMC 2024-07-31,fomc
2024-09-18,FOMC 2024-09-18,fomc
2024-11-07,FOMC 2024-11-07,fomc
2024-12-18,FOMC 2024-12-18,fomc
2025-01-29,FOMC 2025-01-29,fomc
2025-03-19,FOMC 2025-03-19,fomc
2025-05-07,FOMC 2025-05-07,fomc
2025-06-18,FOMC 2025-06-18,fomc
2025-07-30,FOMC 2025-07-30,fomc
2025-09-17,FOMC 2025-09-17,fomc
2025-10-29,FOMC 2025-10-29,fomc
2025-12-10,FOMC 2025-12-10,fomc
2026-01-28,FOMC 2026-01-28,fomc
2026-03-18,FOMC 2026-03-18,fomc
2026-04-29,FOMC 2026-04-29,fomc
2026-06-17,FOMC 2026-06-17,fomc
2026-07-29,FOMC 2026-07-29,fomc
2026-09-16,FOMC 2026-09-16,fomc
2026-10-28,FOMC 2026-10-28,fomc
2026-12-09,FOMC 2026-12-09,fomc
2025-01-15,CPI Dec 2024,cpi
2025-02-12,CPI Jan 2025,cpi
2025-03-12,CPI Feb 2025,cpi
2025-04-10,CPI Mar 2025,cpi
2025-05-13,CPI Apr 2025,cpi
2025-06-11,CPI May 2025,cpi
2025-07-15,CPI Jun 2025,cpi
2025-08-12,CPI Jul 2025,cpi
2025-09-11,CPI Aug 2025,cpi
2025-10-24,CPI Sep 2025,cpi
2025-12-18,CPI Nov 2025,cpi
2026-01-13,CPI Dec 2025,cpi
2026-02-13,CPI Jan 2026,cpi
2026-03-11,CPI Feb 2026,cpi
2026-04-10,CPI Mar 2026,cpi
2026-05-12,CPI Apr 2026,cpi
2026-06-10,CPI May 2026,cpi
2026-07-14,CPI Jun 2026,cpi
2026-08-12,CPI Jul 2026,cpi
2026-09-11,CPI Aug 2026,cpi
2026-10-14,CPI Sep 2026,cpi
2026-11-10,CPI Oct 2026,cpi
2026-12-10,CPI Nov 2026,cpi
2025-01-10,NFP Dec 2024,nfp
2025-02-07,NFP Jan 2025,nfp
2025-03-07,NFP Feb 2025,nfp
2025-04-04,NFP Mar 2025,nfp
2025-05-02,NFP Apr 2025,nfp
2025-06-06,NFP May 2025,nfp
2025-07-03,NFP Jun 2025,nfp
2025-08-01,NFP Jul 2025,nfp
2025-09-05,NFP Aug 2025,nfp
2025-11-20,NFP Sep 2025,nfp
2025-12-16,NFP Nov 2025,nfp
2026-01-09,NFP Dec 2025,nfp
2026-02-11,NFP Jan 2026,nfp
2026-03-06,NFP Feb 2026,nfp
2026-04-03,NFP Mar 2026,nfp
2026-05-08,NFP Apr 2026,nfp
2026-06-05,NFP May 2026,nfp
2026-07-02,NFP Jun 2026,nfp
2026-08-07,NFP Jul 2026,nfp
2026-09-04,NFP Aug 2026,nfp
2026-10-02,NFP Sep 2026,nfp
2026-11-06,NFP Oct 2026,nfp
2026-12-04,NFP Nov 2026,nfp
